pmid,title,abstract,authors,journal,pub_date
27741350,Measuring cancer evolution from the genome.,"The temporal dynamics of cancer evolution remain elusive, because it is impractical to longitudinally observe cancers unperturbed by treatment. Consequently, our knowledge of how cancers grow largely derives from inferences made from a single point in time - the endpoint in the cancer's evolution, when it is removed from the body and studied in the laboratory. Fortuitously however, the cancer genome, by virtue of ongoing mutations that uniquely mark clonal lineages within the tumour, provides a rich, yet surreptitious, record of cancer development. In this review, we describe how a cancer's genome can be analysed to reveal the temporal history of mutation and selection, and discuss why both selective and neutral evolution feature prominently in carcinogenesis. We argue that selection in cancer can only be properly studied once we have some understanding of what the absence of selection looks like. We review the data describing punctuated evolution in cancer, and reason that punctuated phenotype evolution is consistent with both gradual and punctuated genome evolution. We conclude that, to map and predict evolutionary trajectories during carcinogenesis, it is critical to better understand the relationship between genotype change and phenotype change. Copyright © 2016 Pathological Society of Great Britain and Ireland. Published by John Wiley & Sons, Ltd.",Graham TA; Sottoriva A,The Journal of pathology,"{'Year': '2017', 'Month': 'Jan'}"
35362092,Field cancerization in breast cancer.,"Breast cancer affects one in seven women worldwide during their lifetime. Widespread mammographic screening programs and education campaigns allow for early detection of the disease, often during its asymptomatic phase. Current practice in treatment and recurrence monitoring is based primarily on pathological evaluations but can also encompass genomic evaluations, both of which focus on the primary tumor. Although breast cancer is one of the most studied cancers, patients still recur at a rate of up to 15% within the first 10 years post-surgery. Local recurrence was originally attributed to tumor cells contaminating histologically normal (HN) tissues beyond the surgical margin, but advances in technology have allowed for the identification of distinct aberrations that exist in the peri-tumoral tissues themselves. One leading theory to explain this phenomenon is the field cancerization theory. Under this hypothesis, tumors arise from a field of molecularly altered cells that create a permissive environment for malignant evolution, which can occur with or without morphological changes. The traditional histopathology paradigm dictates that molecular alterations are reflected in the tissue phenotype. However, the spectrum of inter-patient variability of normal breast tissue may obfuscate recognition of a cancerized field during routine diagnostics. In this review, we explore the concept of field cancerization focusing on HN peri-tumoral tissues: we present the pathological and molecular features of field cancerization within these tissues and discuss how the use of peri-tumoral tissues can affect research. Our observations suggest that pathological and molecular evaluations could be used synergistically to assess risk and guide the therapeutic management of patients. © 2022 The Authors. The Journal of Pathology published by John Wiley & Sons Ltd on behalf of The Pathological Society of Great Britain and Ireland.",Gadaleta E; Thorn GJ; Ross-Adams H; Jones LJ; Chelala C,The Journal of pathology,"{'Year': '2022', 'Month': 'Jul'}"
31761807,What Is Cancer?,"This essay focuses on themes in Explaining Cancer: Finding Order in Disorder (2018) by Anya Plutynski, a monograph that has important things to say about both the peculiarities of cancers and our theories about them. Cancer's agents of destruction are human cells that have been recruited and to some extent transformed into pathological organisms or the building blocks of tumors. Cancers both undermine and exploit mechanisms of multicellular organization, and understanding them gives rise to difficult philosophical problems. In addition to sketching Plutynski's discussion of these problems, this essay defends Christopher Boorse's account of disease from Plutynski's criticisms, and it expresses some qualms about her treatment of scientific explanation.",Hausman DM,Perspectives in biology and medicine,{'Year': '2019'}
38702718,"Signaling, cancer cell plasticity, and intratumor heterogeneity.","Cancer's complexity is in part due to the presence of intratumor heterogeneity and the dynamic nature of cancer cell plasticity, which create substantial obstacles in effective cancer management. Variability within a tumor arises from the existence of diverse populations of cancer cells, impacting the progression, spread, and resistance to treatments. At the core of this variability is the concept of cellular plasticity - the intrinsic ability of cancer cells to alter their molecular and cellular identity in reaction to environmental and genetic changes. This adaptability is a cornerstone of cancer's persistence and progression, making it a formidable target for treatments. Emerging studies have emphasized the critical role of such plasticity in fostering tumor diversity, which in turn influences the course of the disease and the effectiveness of therapeutic strategies. The transformative nature of cancer involves a network of signal transduction pathways, notably those that drive the epithelial-to-mesenchymal transition and metabolic remodeling, shaping the evolutionary path of cancer cells. Despite advancements, our understanding of the precise molecular machinations and signaling networks driving these changes is still evolving, underscoring the necessity for further research. This editorial presents a series entitled ""Signaling Cancer Cell Plasticity and Intratumor Heterogeneity"" in Cell Communication and Signaling, dedicated to unraveling these complex processes and proposing new avenues for therapeutic intervention.",Cordani M; Dando I; Ambrosini G; González-Menéndez P,Cell communication and signaling : CCS,"{'Year': '2024', 'Month': 'May', 'Day': '03'}"
21458665,Mapping cancer origins.,"Cancer comprises a bewildering assortment of diseases that kill 7.5 million people each year. Poor understanding of cancer's diversity currently thwarts our goal of a cure for every patient, but recent integration of genomic and stem cell technologies promises a route through this impasse.",Gilbertson RJ,Cell,"{'Year': '2011', 'Month': 'Apr', 'Day': '01'}"
35121920,Cancer's new normal.,,Dolgin E,Nature cancer,"{'Year': '2021', 'Month': 'Dec'}"
33173229,Addressing cancer's grand challenges.,,Mullard A,Nature reviews. Drug discovery,"{'Year': '2020', 'Month': 'Dec'}"
39125710,"Personalized Assessment for Cancer Prevention, Detection, and Treatment.",The intention of this Special Issue is to highlight research that aims to recognize cancer's complexity to better prevent or treat its occurrence [...].,Paleari L,International journal of molecular sciences,"{'Year': '2024', 'Month': 'Jul', 'Day': '26'}"
29717446,Detection of Cancer DNA in Early Stage and Metastatic Breast Cancer Patients.,"Breast cancer is the leading cause of cancer in women and the second leading cause of cancer-related death. There are many subtypes of breast cancer, which can be identified through the process of molecular and genetic profiling. While the current standard of care utilizes tumor tissue biopsy to subclassify breast cancer, plasma tumor DNA (ptDNA) can be detected through droplet digital PCR (ddPCR) of plasma obtained from a simple blood draw. Tissue biopsy is not only more invasive but because tumors exhibit heterogeneity it can be less accurate. Blood collects DNA shed from normal and cancerous cells alike, thus ddPCR of plasma offers a broader picture of a cancer's genetic makeup. This chapter summarizes how patients with breast cancer can be screened for specific cancerous mutations in both tissue and plasma through the use of ddPCR.",Medford AJ; Gillani RN; Park BH,"Methods in molecular biology (Clifton, N.J.)",{'Year': '2018'}
40051316,Breast Cancer: A Heterogeneous Pathology. Prognostic and Predictive Factors - A Narrative Review.,"Breast cancer (BC) is recognized as one of the leading malignancies affecting women worldwide. Its remarkable heterogeneity is a defining characteristic, contributing to both diverse patterns of disease progression and varied therapeutic responses. This review explores the evolution of breast cancer classifications, focusing on key prognostic and predictive factors. It examines traditional systems, such as the TNM staging and histological differentiation, while also incorporating modern elements like molecular subtypes, genomic alterations, and advanced diagnostic assays. By combining classical clinicopathological insights with cutting-edge molecular genetic technologies, the goal is to refine the precision of treatment strategies, ultimately advancing both our understanding and management of this complex disease. The review also emphasizes the importance of a global perspective, as achieving the primary treatment goals - prolonged survival and enhanced quality of life - requires addressing the disease in a broader, more comprehensive context. Breast cancer's complexity, driven by significant variability both across and within tumors, presents major challenges to conventional diagnostic and therapeutic approaches. However, breakthroughs in genomic research, such as molecular profiling and genetic testing, have deepened our understanding of this cancer's intricate nature. These advances have led to the identification of critical genetic alterations - including mutations in BRCA1/2, TP53, PALB2, PTEN, and PIK3CA - that profoundly impact tumor behavior, treatment efficacy, and patient prognosis. Genomic assays like Oncotype DX, MammaPrint, PROSIGNA, and EndoPredict offer valuable insights into recurrence risks and treatment choices, underscoring the growing importance of precision medicine. Moreover, the implementation of Molecular Tumor Boards further enhances personalized treatment strategies, contributing to improved patient outcomes and survival rates. This review underscores the significance of tailored therapeutic approaches and highlights the dynamic evolution of breast cancer in clinical practice.",Popa MT; Nodiţi A; Peleaşă TM; Stoleru S; Blidaru A,"Chirurgia (Bucharest, Romania : 1990)","{'Year': '2025', 'Month': 'Feb'}"
